Parameter,Units,"0% Ren, Sto 0.0","10% Ren, Sto 0.0","20% Ren, Sto 0.0","30% Ren, Sto 0.0","40% Ren, Sto 0.0","50% Ren, Sto 0.0","80% Ren, Sto 0.0","100% Ren, Sto 0.0","0% Ren, Sto 1.0","10% Ren, Sto 1.0","20% Ren, Sto 1.0","30% Ren, Sto 1.0","40% Ren, Sto 1.0","50% Ren, Sto 1.0","80% Ren, Sto 1.0","100% Ren, Sto 1.0","0% Ren, Sto 2.0","10% Ren, Sto 2.0","20% Ren, Sto 2.0","30% Ren, Sto 2.0","40% Ren, Sto 2.0","50% Ren, Sto 2.0","80% Ren, Sto 2.0","100% Ren, Sto 2.0","0% Ren, Sto 3.0","10% Ren, Sto 3.0","20% Ren, Sto 3.0","30% Ren, Sto 3.0","40% Ren, Sto 3.0","50% Ren, Sto 3.0","80% Ren, Sto 3.0","100% Ren, Sto 3.0","0% Ren, Sto 3.5","10% Ren, Sto 3.5","20% Ren, Sto 3.5","30% Ren, Sto 3.5","40% Ren, Sto 3.5","50% Ren, Sto 3.5","80% Ren, Sto 3.5","100% Ren, Sto 3.5","0% Ren, Sto 4.0","10% Ren, Sto 4.0","20% Ren, Sto 4.0","30% Ren, Sto 4.0","40% Ren, Sto 4.0","50% Ren, Sto 4.0","80% Ren, Sto 4.0","100% Ren, Sto 4.0","0% Ren, Sto 4.5","10% Ren, Sto 4.5","20% Ren, Sto 4.5","30% Ren, Sto 4.5","40% Ren, Sto 4.5","50% Ren, Sto 4.5","80% Ren, Sto 4.5","100% Ren, Sto 4.5"
Renewable Part,%,0%,10%,20%,30%,40%,50%,80%,100%,0%,10%,20%,30%,40%,50%,80%,100%,0%,10%,20%,30%,40%,50%,80%,100%,0%,10%,20%,30%,40%,50%,80%,100%,0%,10%,20%,30%,40%,50%,80%,100%,0%,10%,20%,30%,40%,50%,80%,100%,0%,10%,20%,30%,40%,50%,80%,100%
Storage,MW,0,0,0,0,0,0,0,0,"1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,500","3,500","3,500","3,500","3,500","3,500","3,500","3,500","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,500","4,500","4,500","4,500","4,500","4,500","4,500","4,500"
Wasted,GWh,0,0,0.1,0.9,3.3,7.6,24.8,37.4,0,0,0.1,0.8,3.1,7.4,24.5,37.1,0,0,0.1,0.8,3,7.1,24.3,36.8,0,0,0.1,0.8,2.8,6.9,24,36.5,0,0,0.1,0.7,2.8,6.8,23.8,36.4,0,0,0.1,0.7,2.7,6.7,23.7,36.2,0,0,0.1,0.6,2.7,6.6,23.5,36.1
Wasted,%ren,,0%,1%,4%,12%,22%,46%,55%,,0%,1%,4%,12%,22%,45%,54%,,0%,1%,4%,11%,21%,45%,54%,,0%,1%,4%,10%,20%,44%,54%,,0%,1%,4%,10%,20%,44%,53%,,0%,1%,3%,10%,20%,43%,53%,,0%,1%,3%,10%,19%,43%,53%
Wasted,%dmnd,0%,0%,0%,1%,5%,11%,36%,55%,0%,0%,0%,1%,5%,11%,36%,54%,0%,0%,0%,1%,4%,10%,36%,54%,0%,0%,0%,1%,4%,10%,35%,54%,0%,0%,0%,1%,4%,10%,35%,53%,0%,0%,0%,1%,4%,10%,35%,53%,0%,0%,0%,1%,4%,10%,35%,53%
Max Fossil Demand,MW,"12,705","12,353","12,353","12,353","12,353","12,353","12,353","12,353","12,705","12,254","12,254","12,254","12,254","12,254","12,254","12,254","12,705","11,686","11,686","11,686","11,686","11,686","11,686","11,686","12,705","11,470","11,470","11,470","11,470","11,470","11,470","11,470","12,705","11,362","11,362","11,362","11,362","11,362","11,362","11,362","12,705","11,254","11,254","11,254","11,254","11,254","11,254","11,254","12,705","11,205","11,146","11,146","11,146","11,146","11,146","11,146"
Saving Fossil,MW,0,353,353,353,353,353,353,353,0,451,451,451,451,451,451,451,0,"1,020","1,020","1,020","1,020","1,020","1,020","1,020",0,"1,236","1,236","1,236","1,236","1,236","1,236","1,236",0,"1,344","1,344","1,344","1,344","1,344","1,344","1,344",0,"1,452","1,452","1,452","1,452","1,452","1,452","1,452",0,"1,501","1,559","1,559","1,559","1,559","1,559","1,559"
Saving pcnt,%dmnd,0%,3%,3%,3%,3%,3%,3%,3%,0%,4%,4%,4%,4%,4%,4%,4%,0%,8%,8%,8%,8%,8%,8%,8%,0%,10%,10%,10%,10%,10%,10%,10%,0%,11%,11%,11%,11%,11%,11%,11%,0%,11%,11%,11%,11%,11%,11%,11%,0%,12%,12%,12%,12%,12%,12%,12%
Capacity Renewable,MW,0,"2,905","5,809","8,714","11,619","14,523","23,237","29,047",0,"2,905","5,809","8,714","11,619","14,523","23,237","29,047",0,"2,905","5,809","8,714","11,619","14,523","23,237","29,047",0,"2,905","5,809","8,714","11,619","14,523","23,237","29,047",0,"2,905","5,809","8,714","11,619","14,523","23,237","29,047",0,"2,905","5,809","8,714","11,619","14,523","23,237","29,047",0,"2,905","5,809","8,714","11,619","14,523","23,237","29,047"
Capacity Fossil,MW,"12,705","12,353","12,353","12,353","12,353","12,353","12,353","12,353","12,705","12,254","12,254","12,254","12,254","12,254","12,254","12,254","12,705","11,686","11,686","11,686","11,686","11,686","11,686","11,686","12,705","11,470","11,470","11,470","11,470","11,470","11,470","11,470","12,705","11,362","11,362","11,362","11,362","11,362","11,362","11,362","12,705","11,254","11,254","11,254","11,254","11,254","11,254","11,254","12,705","11,205","11,146","11,146","11,146","11,146","11,146","11,146"
Gen Fossile,MWh,"68,130,370","61,083,027","54,161,895","47,699,357","43,007,619","40,274,416","36,820,454","35,656,813","68,130,370","61,083,027","54,152,648","47,651,001","42,857,081","40,046,045","36,519,899","35,341,389","68,130,370","61,083,846","54,143,362","47,605,953","42,711,331","39,820,151","36,220,072","35,026,513","68,130,370","61,083,846","54,134,049","47,563,790","42,570,474","39,596,379","35,920,882","34,711,046","68,130,370","61,083,846","54,129,307","47,543,558","42,502,134","39,485,629","35,771,376","34,553,330","68,130,370","61,094,083","54,124,598","47,560,153","42,434,850","39,375,785","35,621,933","34,395,641","68,130,370","61,094,311","54,119,953","47,541,184","42,369,009","39,266,561","35,472,061","34,238,076"
Gen Ren,MWh,0,"6,813,037","13,626,074","20,439,111","27,252,148","34,065,185","54,504,296","68,130,370",0,"6,813,037","13,626,074","20,439,111","27,252,148","34,065,185","54,504,296","68,130,370",0,"6,813,037","13,626,074","20,439,111","27,252,148","34,065,185","54,504,296","68,130,370",0,"6,813,037","13,626,074","20,439,111","27,252,148","34,065,185","54,504,296","68,130,370",0,"6,813,037","13,626,074","20,439,111","27,252,148","34,065,185","54,504,296","68,130,370",0,"6,813,037","13,626,074","20,439,111","27,252,148","34,065,185","54,504,296","68,130,370",0,"6,813,037","13,626,074","20,439,111","27,252,148","34,065,185","54,504,296","68,130,370"
Cost Renewable,109₪/a,0,0.7,1.5,2.2,2.9,3.7,5.9,7.3,0,0.7,1.5,2.2,2.9,3.7,5.9,7.3,0,0.7,1.5,2.2,2.9,3.7,5.9,7.3,0,0.7,1.5,2.2,2.9,3.7,5.9,7.3,0,0.7,1.5,2.2,2.9,3.7,5.9,7.3,0,0.7,1.5,2.2,2.9,3.7,5.9,7.3,0,0.7,1.5,2.2,2.9,3.7,5.9,7.3
Cost Fosill,109₪/a,22.6,20.6,18.8,17,15.7,15,14.1,13.8,22.6,20.6,18.7,17,15.7,14.9,14,13.6,22.6,20.4,18.5,16.8,15.4,14.7,13.7,13.4,22.6,20.3,18.5,16.7,15.3,14.5,13.5,13.2,22.6,20.3,18.4,16.6,15.3,14.5,13.5,13.1,22.6,20.3,18.4,16.6,15.2,14.4,13.4,13,22.6,20.2,18.3,16.6,15.2,14.3,13.3,13
Cost Storage,109₪/a,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Cost Total,109₪/a,22.6,21.4,20.2,19.2,18.7,18.7,19.9,21.1,22.8,21.4,20.3,19.3,18.7,18.7,19.9,21.1,22.9,21.4,20.2,19.2,18.6,18.6,19.8,20.9,23,21.4,20.3,19.2,18.6,18.5,19.8,20.9,23.1,21.4,20.3,19.2,18.6,18.5,19.7,20.9,23.1,21.5,20.3,19.3,18.6,18.5,19.7,20.9,23.2,21.5,20.3,19.3,18.6,18.5,19.7,20.8
Ren kWh Cost,₪/kWh,#DIV/0!,0.11,0.11,0.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ren+Stor kWh Cost,₪/kWh,#DIV/0!,0.11,0.11,0.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Fossil kWh Cost,₪/kWh,0.33,0.34,0.35,0.36,0.37,0.37,0.38,0.39,0.33,0.34,0.35,0.36,0.37,0.37,0.38,0.39,0.33,0.33,0.34,0.35,0.36,0.37,0.38,0.38,0.33,0.33,0.34,0.35,0.36,0.37,0.38,0.38,0.33,0.33,0.34,0.35,0.36,0.37,0.38,0.38,0.33,0.33,0.34,0.35,0.36,0.37,0.38,0.38,0.33,0.33,0.34,0.35,0.36,0.36,0.38,0.38
Ren CAPEX,109₪/a,0,0.5,1.1,1.6,2.1,2.6,4.2,5.3,0,0.5,1.1,1.6,2.1,2.6,4.2,5.3,0,0.5,1.1,1.6,2.1,2.6,4.2,5.3,0,0.5,1.1,1.6,2.1,2.6,4.2,5.3,0,0.5,1.1,1.6,2.1,2.6,4.2,5.3,0,0.5,1.1,1.6,2.1,2.6,4.2,5.3,0,0.5,1.1,1.6,2.1,2.6,4.2,5.3
Ren OPEX,109₪/a,0,0.2,0.4,0.6,0.8,1,1.7,2.1,0,0.2,0.4,0.6,0.8,1,1.7,2.1,0,0.2,0.4,0.6,0.8,1,1.7,2.1,0,0.2,0.4,0.6,0.8,1,1.7,2.1,0,0.2,0.4,0.6,0.8,1,1.7,2.1,0,0.2,0.4,0.6,0.8,1,1.7,2.1,0,0.2,0.4,0.6,0.8,1,1.7,2.1
Ren Fuel,109₪/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ren Ext,109₪/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fossil CAPEX,109₪/a,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3,3,3,3,3,3,3,3.2,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.2,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.2,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.2,2.8,2.8,2.8,2.8,2.8,2.8,2.8
Fossil OPEX,109₪/a,1.7,1.6,1.6,1.5,1.4,1.4,1.4,1.4,1.7,1.6,1.6,1.5,1.4,1.4,1.4,1.4,1.7,1.6,1.5,1.4,1.4,1.4,1.3,1.3,1.7,1.6,1.5,1.4,1.4,1.3,1.3,1.3,1.7,1.6,1.5,1.4,1.4,1.3,1.3,1.3,1.7,1.6,1.5,1.4,1.4,1.3,1.3,1.3,1.7,1.5,1.5,1.4,1.3,1.3,1.3,1.3
Fossil Fuel,109₪/a,12.8,11.5,10.2,8.9,8.1,7.6,6.9,6.7,12.8,11.5,10.2,8.9,8,7.5,6.8,6.6,12.8,11.5,10.2,8.9,8,7.5,6.8,6.6,12.8,11.5,10.2,8.9,8,7.4,6.7,6.5,12.8,11.5,10.2,8.9,8,7.4,6.7,6.5,12.8,11.5,10.1,8.9,8,7.4,6.7,6.4,12.8,11.5,10.1,8.9,7.9,7.4,6.7,6.4
Fossil Ext,109₪/a,4.9,4.4,3.9,3.4,6.3,5.9,5.4,5.2,9.9,8.9,7.9,6.9,6.2,5.8,5.3,5.1,9.9,8.9,7.9,6.9,6.2,5.8,5.3,5.1,9.9,8.9,7.9,6.9,6.2,5.8,5.2,5.1,9.9,8.9,7.9,6.9,6.2,5.7,5.2,5,9.9,8.9,7.9,6.9,6.2,5.7,5.2,5,9.9,8.9,7.9,6.9,6.2,5.7,5.2,5
Storage CAPEX,109₪/a,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Storage OPEX,109₪/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Storage Fuel,109₪/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Storage Ext,109₪/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
